"id","date","asked_by","context","question","answer_summary","verification_status","resources"
"63","18/05/2026","Boro Ma'am","Onsite session","Tell me the proposals made in this paper / categorize the public comments received / which circular did it refer to for deferring provisions (check background section)","Answers not recorded.","UNVERIFIED",""
"64","18/05/2026","Boro Ma'am","Onsite session","How much fund was raised for Category 1 AIF - venture capital fund?","Answer not recorded.","UNVERIFIED","Handbook of Statistics 2024-25"
"65","18/05/2026","Boro Ma'am","Onsite session","In the Handbook of Statistics 2024-25 what does it consist of re performance of global stock markets? / annualized volatility report for stock exchanges 2024-25","Answers not recorded.","UNVERIFIED","Handbook of Statistics 2024-25"
"66","18/05/2026","Suraj Sir (SEBI)","Onsite session","What happened in the Hindenburg case? Can you elaborate more?","Answered, BUT pointed users to 'Supreme Court judgment in Writ Petition (Civil) No. 162/2023' on SEBI's site - no such judgment found on the website (hallucinated pointer).","VERIFIED_WRONG_POINTER",""
"67","18/05/2026","Suraj Sir","Onsite session","List all the adjudications in FY 2025-26","FAILED - stalled at long thinking; no response received.","VERIFIED_FAILURE",""
"68","18/05/2026","Suraj Sir","Onsite session","Provide details of 11B orders in June 2025","Outcome not recorded.","UNVERIFIED",""
"69","18/05/2026","Suchita Madam (SEBI)","Onsite session","Summarize the exemption order for Tinna Rubber","ANSWERED - worked.","VERIFIED_CORRECT","Tinna Rubber exemption order 24 Mar 2026"
"70","18/05/2026","Suchita Madam","Onsite session","What other orders are related to Tinna Rubber?","FAILED - no answer / too slow.","VERIFIED_FAILURE",""
"71","18/05/2026","Suchita Madam","Onsite session","Verify whether the order is in line with all provisions of SEBI Master Circular No. SEBI/HO/CFD/PoD-1/P/CIR/2023/31","Initially failed (MC not in KB). After re-ask: full correct answer - acquirer Sekhri Family Annuity Trust declares under para 4(f) compliance with all ten Chapter 8 conditions (i)-(x): mirror-image trust, promoter-only trustees/beneficiaries, no transfer/encumbrance, 2-day disclosure, annual auditor certificate etc. 'The answer is correct. Formatting is the issue.'","VERIFIED_CORRECT","Master Circular 16 Feb 2023 (SEBI/HO/CFD/PoD-1/P/CIR/2023/31) + Tinna Rubber exemption order"
"72","18/05/2026","Suchita Madam","Onsite session","Give me the compliance status against the provisions of master circular in yes/no format","FAILED - did not answer.","VERIFIED_FAILURE",""
"73","18/05/2026","Suchita Madam","Onsite session","Give a table-wise comparison between regulations and exemption given - whether each one was followed or not","FAILED - answered the wrong direction (checked MC points in exemption order instead of exemption-vs-MC compliance).","VERIFIED_FAILURE",""
"74","18/05/2026","Suchita Madam","Onsite session","Give me the list of draft offer documents (DRHPs) filed with SEBI in April 2026","FAILED twice - wrong in-session (context bleed); '3' in new session; data/ingestion + completeness issue.","VERIFIED_WRONG",""
"75","18/05/2026","Venkatesan","Aggregate check","Give me the list of exemption orders issued by SEBI in 2025","System returned 5 (Suchita got 3) - all correct but TRUE TOTAL = 25. Incomplete due to top-K retrieval.","VERIFIED_INCOMPLETE","Ground truth: 25 exemption orders in 2025"
"76","19/05/2026","Sonal Pednekar (SEBI Adjudication)","Gold eval question","Give me details of the SEBI Adjudication order wherein SEBI exonerated the Company and its directors for violation of manipulation in books of accounts","Expected answer: SUZLON order. Nemotron said 'no results' despite Vespa returning the doc; worked on Claude (read last chunks/disposition).","VERIFIED_EXPECTED_ANSWER_SUZLON","Suzlon order; near-misses to reject: DB Realty / Binit Joshi-Seacoast / Setco"
"77","19/05/2026","Sonal Pednekar","Gold eval question","Find order with regard to fraudulent preferential allotment to promoters and non-promoters wherein non-promoters were exonerated and only promoter was charged","Worked on Claude; Nemotron outcome not recorded.","PARTIAL",""
"78","19/05/2026","Mamtha","Eval","Evaluate Meesho's proposal to allocate Fresh Issue capital to technology infrastructure and cloud upgrades. Verify if disclosure clearly separates core platform technologies from non-core functions.","Expected: 'Disclosure does NOT separate out'. System answered 'Disclosure separates out' - WRONG. Needs reasoning-against-a-standard (Regulatory Compliance Evaluator), not retrieval.","VERIFIED_WRONG","Meesho DRHP"
"79","18/05/2026","Mamtha","InvIT question set","What is the scale and footprint of the NDR InvIT? / Material litigations, tax disputes, land title issues against Sponsor or warehouse land parcels? / Core terms of the ROFO/ROFR agreement between Sponsor and Trust?","Answers not recorded (eval candidates).","UNVERIFIED","NDR InvIT placement memorandum"
"80","18/05/2026","Venkatesan","InvIT checklist","Sponsor details (name/constitution/office, track record, net worth, continuing interest non-rebatable, fit & proper), investment strategy, end-to-end investment process incl. IC composition/quorum/voting","Answers not recorded; canned deficiency line documented: 'MB is advised to disclose the end-to-end investment process including role, composition, quorum and voting mechanism of the Investment Committee.'","UNVERIFIED","InvIT regulations"
"81","20-21/05/2026","Suchita Ma'am (SEBI)","PPM compliance checklist (52 questions)","52-question AIF/PPM compliance checklist - categories: Directory (custodian/RTA), Investment Objective (MF/ETF/G-Sec inclusion, no other-AIF units, <=25% per portfolio company, <50% listed, no loans/guarantees), Investment restrictions (associate approvals 75%/Super-Majority), Governance (NISM XIX-C per Reg 4(g), KMP names, IC binding vs recommendatory, IC ToR), Track record, Principal Terms (open/close-ended, demat, tenure from first close, <=2yr extension, Direct Plan, differential rights, warehousing <6mo, co-investment AIF+PMS rules, side letters, excuse & exclusion, in-kind distribution, fee 1/3-upfront Cat I/II, borrowing, temp deployment <12mo, defaulting unitholder, corpus >=20cr, commitment >=1cr, sponsor 2.5%/5cr), Valuation methodology, Conflicts policy, Distribution waterfall, Investor Charter, Grievances, Glossary (Super-Majority = 75% by value)","Individual answers not recorded in channel; SEBI aggregate feedback: 43/50 'Very Accurate', 4 'Need to be refined', 4 'Accurate, Needs Some Refining'. Answers had to come from HOSTED models only (PPMs confidential).","VERIFIED_AGGREGATE_43_OF_50","Full 52 questions verbatim in raw/transcript_chunk_06.txt lines 105-260; 2 confidential PPM docs; SEBI (AIF) Regulations 2012"
"82","20/05/2026","Utkarsh","Enforcement research","Settlement and adjudication orders against independent directors from the last two years (2024-2026)","Detailed answer posted: Binny Ltd (Feb 2024 - 4 IDs Rs 9.42-11.05L each); NESCO (Jan 2025 - Manu Parpia Rs 21.45L settlement, tenure overrun + misleading independence declaration, LODR 16(1)(b) + CA s.149(10)); Paytm/One97 (Jan 2025 - 8 NRC directors Rs 11.05L-53.62L, LODR Reg 4(2)); trend: NRC members higher, focus LODR 4(2)/18(3).","UNVERIFIED_DETAILED","Settlement orders: Binny / NESCO (application 7942/2024) / One97 Communications"
"83","21/05/2026","Aniket","Multi-condition query tuning","Cases where company AND directors were exonerated on books-of-account charge (match every condition)","Only SUZLON fully qualifies. Near-misses to reject: DB Realty (penalized on another charge), Binit Joshi & Seacoast (director cleared, company guilty), Setco (partial). Used as ground truth for the 'match EVERY condition' prompt.","VERIFIED_BY_ANALYSIS","Suzlon / DB Realty / Seacoast / Setco orders"
"84","25/05/2026","Pradnya Pawar (SEBI AFD)","Onsite testing","Can you guide me on what regulations are violated in case of siphoning of money?","Answered: Regulation 4(1) of SEBI (PFUTP) Regulations 2003 via the Explanation deeming diversion/misutilisation/siphoning of listed-company assets fraudulent (quoted verbatim with chunk citations). User wanted ALL regulations - only 1 given.","PARTIAL","PFUTP Regulations 2003 Reg 4(1); citations clf-l035...#11, clf-hhuo...#14"
"85","25/05/2026","Pradnya Pawar","Onsite testing","What were the findings of SEBI's order in Pacheli Industries Ltd?","'Not found'. Root cause: filename not indexed + exact-match metadata (entity legally 'Pacheli Industrial Finance Limited' vs query 'Pacheli Industries Ltd'). Fixed 26/05 (filename indexing).","VERIFIED_FAILURE_THEN_FIXED",""
"86","25/05/2026","Pradnya Pawar","Onsite testing","What are the findings in the SEBI order in the matter of Varanium Cloud Ltd?","CORRECT (user-verified). Interim Order 10 May 2024 + Confirmatory 21 Oct 2024: Rs 40.39cr net IPO proceeds; Rs 1.5cr to promoter-group Turmeric Lifestyle undisclosed; fake data/learning centres (NSE site visits: 0-10 units/month electricity, 8 of 107 claimed employees); Rs 18.43cr (~46%) to BM Traders proprietorship; ~60% total to promoter entities; FY23 anomalies (revenue +984%, receivables Rs 3.87cr to 102.91cr, OCF -91%, D&A +2074%); fictitious purchases AWS Rs 201.85cr FY23 (100% of purchases, unpaid) + SecUR Rs 33.88cr + Avance Rs 18.43cr + Athos Rs 2.97cr round-tripped; fictitious sales Courage Clothing Rs 107.16cr; promoter Harshawardhan Sabale off-loaded shares; restraint directions confirmed.","VERIFIED_CORRECT","Varanium Cloud interim order 10/05/2024 + confirmatory 21/10/2024"
"87","25/05/2026","Pradnya Pawar","Onsite testing","As per the latest orders what regulations and proceedings are invoked for fictitious sales and purchases?","Answered from Oriental Trimex adjudication order 18 Feb 2026: SEBI Act s.12A(a)(b)(c); PFUTP Reg 3(a)-(d), 4(1), 4(2)(f)(k)(r); LODR Reg 4(1), 33(1)(a)(c), 48; adjudication s.15-I + 1995 Rules; penalties s.15HA/15HB/15A(a). PARTIAL - did not give corresponding orders & charges imposed.","PARTIAL","Oriental Trimex adjudication order 18/02/2026"
"88","26/05/2026","Komal Mahajan (SEBI OIAE)","Onsite testing","What is Project Jagrook by SEBI? / What is Niveshak Shivir? / SEBI social media handles on website / Seema Jain order / how to do transmission of shares / facility to verify intermediaries / recent investor awareness measures / language-department summary from annual report / Chairperson CII summit speech summary / cite FAQs on transmission (only, not PIT) / difference in 'related party' definition across SEBI regulations (12 questions)","Answers attached as files, not inline - all unverified in channel.","UNVERIFIED","OIAE investor-education corpus; annual report"
"89","26/05/2026","Preeti Patel (SEBI PACL)","Onsite testing","SAT judgments on related party transactions / Linde order of SEBI / Supreme Court judgments on RPTs / SEBI circulars on RPT / recent ISO case","Answers verified accurate by the officer - 'answers were accurate and good... She cross checked the actual PDF also, and it had data.'","VERIFIED_CORRECT","SAT/SC RPT judgments; Linde order"
"90","26/05/2026","Preeti Patel","Onsite testing (drafting)","Draft an affidavit for challenging this order","Nemotron gave a correct draft; officer went through the entire draft.","VERIFIED_CORRECT","PACL/ISO case order"
"91","26/05/2026","Preeti Patel","Onsite testing","How many PACL cases were dismissed? / Success rate of orders petitioned, how many got rejected?","UNANSWERED - PACL documents not ingested (confirmed still missing 30/05).","BLOCKED_DATA_GAP","PACL docs (requested, not ingested)"
"92","26/05/2026","Nihal Machineni (SEBI CFID)","Onsite testing","Examine the Cobrapost Murugappa/Cholamandalam material - probable violations of SEBI Act, LODR, PFUTP; table of specific regulation violated, why, and how to establish","Detailed table produced: LODR Reg 23 materiality (Rs 1,000cr/10% threshold; ~Rs 10,262cr transactions vs ~Rs 2,161cr ~21% disclosed as RPTs); LODR 23(2)/(4) approval gaps; PFUTP Reg 4 Explanation (payments >Rs 55cr Ravichandran V, ~Rs 54cr Ramesh Menon; 38 borrowers Rs 67.66cr interest); s.12A disgorgement; s.11C - each with evidence steps. Feedback positive; completeness still to be validated.","PARTIAL","cobrapost.com/blog/a-financial-empire-under-scrutiny-14091; CIFCL/CMGICL filings"
"93","26/05/2026","Harsha","Stress test","Scan all 2025 Investigation Orders involving HFT/algorithmic manipulation; locate 'spoofing'/phantom liquidity charges; extract the OTR metric, millisecond order-cancellation durations, and flagged trading terminal log IDs","No answer recorded.","UNANSWERED",""
"94","28-30/05/2026","Harsha","AIF differential rights query","SEBI circulars/enforcement orders 2024-2026 on pro-rata, pari-passu and differential investor rights of AIFs (folder Legal/Circulars)","Initially FAILED (15 hits / 0 with date filter; HNSW post-filter). After PR #39 (pre-filter fix), VERIFIED CORRECT: (1) Circular SEBI/HO/AFD/AFD-POD-1/P/CIR/2024/175 (13 Dec 2024) pro-rata Reg 20(21) / pari-passu Reg 20(22) + SFA standards + one-time reporting for PPMs filed >= Mar 1 2020; (2) Circular 2025/29 (3 Mar 2025) deadline extended Feb 28 to Mar 31 2025; correctly stated NO enforcement order invokes Reg 20(21)/20(22) in corpus 2024-2026.","VERIFIED_CORRECT","AIF Regulations 2012 Reg 20(21)/20(22); circulars 2024/175 + 2025/29"
"95","02/06/2026","Yash Kalabalia (SEBI EAD)","User testing","Summary of SAT order in Bombay Dyeing","Answered correctly (user-verified).","VERIFIED_CORRECT","SAT order - Bombay Dyeing"
